DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
05-Sep-2021,24603,24989.95,24402,24496.25,1442,
06-Sep-2021,24500,24667.95,24120,24339.95,1896,
07-Sep-2021,24500,24624.95,24211.15,24341.75,3627,
08-Sep-2021,24350.05,24538.95,24001.25,24218.35,1147,
12-Sep-2021,24218.35,25362.95,24134.05,25150.9,18216,
13-Sep-2021,25260,26000,25260,25705.25,5960,
14-Sep-2021,25999.9,25999.9,25259.5,25337.85,2531,
15-Sep-2021,25438,25487,25100,25156.85,19396,
16-Sep-2021,25300,25399.8,24702.05,25235.9,4038,
19-Sep-2021,25347,25347,24567.05,25128,3534,
20-Sep-2021,25088.7,25300,24870,25088.35,9008,
21-Sep-2021,25250,25319.5,24651.25,24724.35,7146,
22-Sep-2021,24836.6,25570,24701.25,25019.9,7564,
23-Sep-2021,25500,25500,24703,24801.15,2174,
26-Sep-2021,25100,25349,24810.95,25131.7,2910,
27-Sep-2021,25190,25270,24571,24747.6,1346,
28-Sep-2021,24750,24795.35,24500,24685.65,1158,
29-Sep-2021,24720,24980.05,24462.5,24832.5,1845,
30-Sep-2021,24800,24900,24500,24863.2,1336,
03-Oct-2021,25200,25896,25001,25435.9,14304,
04-Oct-2021,25435.9,25769.25,25195.2,25254.55,22642,
05-Oct-2021,25499.9,25995,24915.05,25289.55,13066,
06-Oct-2021,25016.15,25700,24850.15,25231.65,3342,
07-Oct-2021,25252,25900,24949.95,25653.8,8108,
10-Oct-2021,25670,25862,25350,25720,3685,
11-Oct-2021,25868,26000,25501.2,25929.5,31047,
12-Oct-2021,25929.5,26390,25661.2,26158.95,7367,
13-Oct-2021,26362,26500,25795,26013.1,5776,
17-Oct-2021,26282,26415,25825,26355.9,3397,
18-Oct-2021,26450,26500,25790,25981.2,6478,
19-Oct-2021,25720,26549.75,25283.7,26016.7,6201,
20-Oct-2021,26199.95,26199.95,25590.25,25740,3193,
21-Oct-2021,25650,26299.7,25401.2,26187.95,4172,
24-Oct-2021,26017,26299,25290,26146.9,3346,
25-Oct-2021,25875,26350,25801.2,26146.75,2876,
26-Oct-2021,25994.95,26195,25825.15,25962.75,1494,
27-Oct-2021,26088,26088,25454.65,25907.45,2006,
28-Oct-2021,25910,25930,25290,25400.7,1879,
31-Oct-2021,25522,25700,25000,25560.5,3109,
01-Nov-2021,25355,26500,25355,26355.15,4476,
02-Nov-2021,26455.15,26999,26350,26758.15,3890,
03-Nov-2021,26605,26861,26551.9,26669,583,
07-Nov-2021,26700,27800,26700,27396.65,7004,
08-Nov-2021,27500,27662,27172.2,27218,6114,
09-Nov-2021,27025,27230.05,26850,26876.4,1133,
10-Nov-2021,26705,27484.9,26564.2,26992.25,2431,
11-Nov-2021,27300,27300,26400,26715.8,4272,
14-Nov-2021,26700,26782.9,25885,26077.75,2884,
15-Nov-2021,26080,26228.5,25733.65,25856,2059,
16-Nov-2021,25856,25961,25315.05,25457,3703,
17-Nov-2021,25458,25587.65,24872.15,25194.15,1859,
21-Nov-2021,25200,25600,25001,25250.9,2224,
22-Nov-2021,25250,25674.2,25117.05,25540.85,1643,
23-Nov-2021,25730.85,25999.9,25327.05,25885,1834,
