DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_CLOSE
03-Jul-2024,441.9,445.45,430,438.1,1483252,
04-Jul-2024,436.8,447.55,420.3,435.35,1568529,
07-Jul-2024,437.2,443,430.05,431.8,510741,
08-Jul-2024,432.3,438.45,425.1,429.55,409922,
09-Jul-2024,427,432.4,414.05,419.9,739036,
10-Jul-2024,422.85,429.55,422.85,426.25,391995,
11-Jul-2024,428.85,444.9,425,438.8,1378258,
14-Jul-2024,440.4,449,424.4,445.85,3518244,
15-Jul-2024,448.5,472.4,447.85,457.05,2490403,
17-Jul-2024,473,484,462.1,465.9,2092007,
18-Jul-2024,465.9,470,444.65,450.4,1500766,
21-Jul-2024,447.9,481.5,442.55,476.85,1660095,
22-Jul-2024,480.2,486.95,429.2,460.05,2633081,
23-Jul-2024,459.45,480.05,453.05,461.85,1195222,
24-Jul-2024,454.3,464.5,444,447.15,567289,
25-Jul-2024,449.7,455.95,441.1,443.65,1322078,
28-Jul-2024,445.1,462.4,445.1,459.15,794542,
29-Jul-2024,459,465.75,445.2,452.5,746458,
30-Jul-2024,452.5,459.95,437.9,446.45,744074,
31-Jul-2024,447.9,453.85,437.1,439.7,344318,
01-Aug-2024,434.1,438,425.65,427.15,436277,
04-Aug-2024,415.1,420,401.25,406.9,703432,
05-Aug-2024,418,423.85,400.6,402.4,421429,
06-Aug-2024,410.15,424.45,407.25,412.7,451245,
07-Aug-2024,415,431.9,410.05,418.45,955736,
08-Aug-2024,431.75,432.9,423.15,427.3,598058,
11-Aug-2024,440,440,420.25,421.75,698916,
12-Aug-2024,415,420.2,396.05,400.25,1578326,
13-Aug-2024,402.9,402.9,383.5,385.5,750852,
15-Aug-2024,388.5,401.7,381.85,394.4,1371483,
18-Aug-2024,396.85,398.05,390.05,393.95,1195049,
19-Aug-2024,396,399,389.3,391.2,342003,
20-Aug-2024,391.05,408.3,388.8,405.15,986821,
21-Aug-2024,408,412.85,405.05,407.45,464512,
22-Aug-2024,408.95,410.35,399.4,400.65,318688,
25-Aug-2024,403.9,403.9,390.05,397.6,620650,
26-Aug-2024,398.65,405.85,394.8,397.25,701604,
27-Aug-2024,400,401,385.2,386.7,998237,
28-Aug-2024,387,395.1,376.1,383.9,1253683,
29-Aug-2024,388.7,389.4,381.4,384.45,558284,
01-Sep-2024,385.05,391.75,384.45,389.8,821886,
02-Sep-2024,404.45,428.45,403,418.95,5274081,
03-Sep-2024,415,420.65,411.25,416.5,1366308,
04-Sep-2024,419,435.9,413.2,433.65,1657070,
05-Sep-2024,434.7,451.45,433.05,443.45,2383466,
08-Sep-2024,444.45,444.5,422,428.4,975765,
09-Sep-2024,430,439.95,428.4,437.2,521744,
10-Sep-2024,435.05,442.5,433,436.7,1007520,
11-Sep-2024,439.8,462,439,457.8,1644626,
12-Sep-2024,458.7,476,457.4,462.8,1793954,
15-Sep-2024,469,477,458,466.6,1404325,
